n_neighbors,n_components,n_clusters,min_df,max_df,coherence,diversity,time_seconds
90,5,40,1,0.5,0.445343161277952,0.975,995.57417
10,5,40,1,0.5,0.42234200757339,0.97,417.615272
10,5,85,1,0.5,0.421392916855215,0.972941176470588,418.721398
10,5,45,1,0.5,0.391817796472683,0.986666666666667,402.176524
90,5,65,1,0.5,0.388239335411281,0.970769230769231,1005.102417
50,5,45,1,0.5,0.387603861007736,0.971111111111111,705.103995
70,5,40,1,0.5,0.386602308972514,0.9725,852.816495
10,5,70,1,0.5,0.385057834493355,0.96,423.358906
50,5,80,1,0.5,0.382516728522939,0.95125,718.170702
90,5,45,1,0.5,0.380785479406327,0.96,998.187023
30,5,75,1,0.5,0.380419779530166,0.966666666666667,564.029625
70,5,80,1,0.5,0.376241298350786,0.96,867.418794
10,5,75,1,0.5,0.375942218432108,0.98,415.279122
50,5,85,1,0.5,0.375309449135985,0.952941176470588,720.36324
30,5,85,1,0.5,0.374670640122306,0.96,569.902449
70,5,55,1,0.5,0.367615393981157,0.970909090909091,854.381381
50,5,40,1,0.5,0.366095004350624,0.96,700.642761
90,5,85,1,0.5,0.36423637358063,0.963529411764706,1015.048872
90,5,55,1,0.5,0.363177249729077,0.967272727272727,1003.925252
50,5,55,1,0.5,0.362002296481823,0.961818181818182,705.97369
50,5,70,1,0.5,0.361988293477823,0.961428571428571,712.738365
90,5,60,1,0.5,0.360805312194425,0.968333333333333,992.470277
30,5,80,1,0.5,0.360193606865565,0.96375,568.760236
70,5,60,1,0.5,0.360037055378271,0.976666666666667,856.779718
90,5,50,1,0.5,0.357425127789988,0.968,996.535919
70,5,75,1,0.5,0.354289497739206,0.970666666666667,864.380259
30,5,70,1,0.5,0.353084555191788,0.965714285714286,565.419498
10,5,80,1,0.5,0.351144156622674,0.97,418.664382
90,5,70,1,0.5,0.348790836627186,0.965714285714286,1007.472774
50,5,75,1,0.5,0.34489844753021,0.950666666666667,715.556483
70,5,45,1,0.5,0.342847821704737,0.964444444444444,848.809221
70,5,70,1,0.5,0.342558923943238,0.968571428571429,854.264326
90,5,75,1,0.5,0.341884141217975,0.964,1008.529917
50,5,65,1,0.5,0.341235056803608,0.96,710.315534
70,5,50,1,0.5,0.339598986571716,0.972,851.891041
90,5,80,1,0.5,0.329920748766354,0.96625,998.943382
30,5,40,1,0.5,0.328439869563959,0.97,561.716266
50,5,60,1,0.5,0.326744203352671,0.968333333333333,707.125729
30,5,65,1,0.5,0.324695295036902,0.967692307692308,584.551869
70,5,85,1,0.5,0.32225373519512,0.962352941176471,868.998226
30,5,55,1,0.5,0.318204351024983,0.965454545454546,563.561261
10,5,60,1,0.5,0.315994928263155,0.97,407.490485
10,5,65,1,0.5,0.31038586583594,0.975384615384615,408.938093
70,5,65,1,0.5,0.306705361394782,0.966153846153846,850.581134
30,5,50,1,0.5,0.297743137834268,0.958,564.946053
30,5,45,1,0.5,0.297556457419132,0.973333333333333,561.764347
30,5,60,1,0.5,0.28536810765965,0.958333333333333,568.474856
10,5,50,1,0.5,0.284701876759836,0.982,402.777537
10,5,55,1,0.5,0.281212331981099,0.981818181818182,405.965738
50,5,50,1,0.5,0.275947757072696,0.964,707.465218
