n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics,outlier_ratio_before,outlier_ratio_after,ratio_topic_0_after,ratio_topic_1_after,ratio_topic_0_force,ratio_topic_1_force,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,time_seconds,score
20,20,140,80,0,33,0.9039,0.2212,0.0311,0.0102,0.0346,0.0112,0.6705,0.9697,0.5175,0.9455,0.4513,0.9242,977.6265,2.0252
20,20,120,80,0.2,31,0.7983,0.2219,0.1185,0.1508,0.1296,0.1721,0.6961,0.9839,0.4846,0.9677,0.3787,0.9452,982.8148,1.7993
20,20,60,30,0.2,32,0.6238,0.244,0.5062,0.1011,0.5857,0.1373,0.7066,0.9938,0.6146,0.9375,0.526,0.9375,969.374,1.8529
10,20,80,30,0.2,35,0.6506,0.2758,0.5368,0.0397,0.7152,0.0456,0.7019,0.9943,0.6146,0.9714,0.499,0.9657,883.0055,2.0795
20,20,100,55,0.2,30,0.7152,0.2765,0.1928,0.2697,0.2242,0.3363,0.685,0.9967,0.4818,0.97,0.4288,0.9533,966.7533,1.0754
10,20,140,105,0.2,36,0.7946,0.2904,0.0869,0.0348,0.102,0.0387,0.6609,0.9778,0.5145,0.9444,0.4598,0.95,893.9626,1.6163
20,20,100,80,0.2,36,0.7962,0.3022,0.1143,0.146,0.1272,0.1874,0.7048,0.9806,0.5227,0.9583,0.431,0.9556,994.574,1.8591
10,20,140,80,0.2,35,0.7459,0.3052,0.1216,0.0673,0.1401,0.0847,0.6636,0.9829,0.4731,0.96,0.4114,0.96,884.9594,1.3911
20,20,120,80,0,40,0.909,0.313,0.0293,0.0742,0.0348,0.0894,0.7007,0.96,0.5522,0.905,0.4646,0.885,1013.2741,1.8513
20,20,140,55,0,34,0.9133,0.3189,0.0318,0.0139,0.0389,0.0237,0.6707,0.9618,0.5262,0.8971,0.4847,0.8971,972.6542,1.5151
20,20,80,55,0.2,31,0.7148,0.3256,0.188,0.2563,0.217,0.3487,0.686,0.9968,0.5506,0.9677,0.3963,0.9645,972.7642,1.3318
10,20,140,55,0.2,33,0.7278,0.327,0.1602,0.2136,0.1855,0.2899,0.6505,0.9939,0.5001,0.9758,0.3957,0.9545,868.143,0.8529
20,20,120,105,0,37,0.9215,0.3463,0.0298,0.0512,0.037,0.0632,0.6881,0.9541,0.5268,0.9108,0.5063,0.9216,1017.1989,1.5581
10,20,140,105,0,45,0.883,0.3502,0.0346,0.0111,0.0387,0.0132,0.6842,0.9556,0.5833,0.8978,0.436,0.9133,924.6106,1.8262
10,20,120,105,0.2,39,0.7931,0.3518,0.0826,0.0347,0.0919,0.0375,0.683,0.9769,0.5473,0.9513,0.4459,0.9487,912.3339,1.9697
10,20,60,30,0.2,44,0.6483,0.3586,0.4552,0.0374,0.6642,0.0453,0.6976,0.9932,0.6358,0.9705,0.4996,0.9523,930.0273,2.0872
10,20,140,80,0,47,0.8765,0.3835,0.0346,0.0128,0.038,0.0153,0.6894,0.9532,0.5578,0.9149,0.4563,0.9106,916.7348,1.7791
10,20,120,80,0.2,37,0.7449,0.3916,0.1168,0.0613,0.1427,0.0864,0.6604,0.9838,0.4584,0.973,0.3858,0.9622,888.5482,1.2154
20,20,120,55,0,40,0.9102,0.4079,0.0311,0.013,0.038,0.0307,0.6846,0.9525,0.5595,0.91,0.4594,0.8725,986.4682,1.6449
10,20,120,55,0.2,35,0.7268,0.4092,0.1522,0.195,0.1855,0.2942,0.6602,0.9914,0.5152,0.96,0.4097,0.9543,875.1481,0.8586
20,20,140,30,0,40,0.9062,0.4094,0.0284,0.0172,0.0321,0.0286,0.6844,0.9625,0.5154,0.895,0.4715,0.865,963.5291,1.461
20,20,60,55,0.2,35,0.7154,0.4124,0.1743,0.2303,0.2074,0.3476,0.7072,0.9943,0.6402,0.9543,0.4967,0.9486,995.0967,1.8555
20,20,100,80,0,48,0.9123,0.4162,0.0294,0.0463,0.0349,0.0644,0.6984,0.95,0.5751,0.925,0.4938,0.8917,1033.7408,1.8146
10,20,120,105,0,49,0.8842,0.4195,0.0345,0.0109,0.0375,0.0134,0.6979,0.951,0.56,0.9061,0.492,0.8918,940.5215,1.7707
20,20,120,30,0,46,0.9071,0.4688,0.028,0.0135,0.0322,0.0259,0.7006,0.9522,0.5481,0.8913,0.4298,0.8739,977.2312,1.5912
10,20,100,55,0.2,38,0.7255,0.4715,0.1466,0.1768,0.1881,0.2971,0.6851,0.9868,0.5825,0.9579,0.3943,0.9605,885.3302,1.3816
10,20,140,55,0,51,0.8732,0.4737,0.0312,0.0104,0.0347,0.0134,0.6993,0.9471,0.5603,0.8961,0.4754,0.8765,911.8104,1.5944
10,20,60,55,0.2,49,0.7229,0.4763,0.1388,0.1628,0.1673,0.2622,0.6842,0.9878,0.6255,0.9429,0.4897,0.9388,929.4982,1.5414
20,20,100,55,0,49,0.9084,0.4877,0.0289,0.04,0.0355,0.0545,0.6987,0.951,0.6444,0.8959,0.5187,0.8776,1032.9121,1.8501
10,20,100,80,0.2,42,0.7643,0.4891,0.1074,0.0345,0.137,0.0373,0.6757,0.9833,0.5739,0.9619,0.4078,0.9405,906.9028,1.7742
10,20,120,80,0,51,0.8779,0.4905,0.0345,0.0124,0.0375,0.0158,0.6946,0.949,0.592,0.898,0.4476,0.8922,933.2303,1.6485
10,20,80,55,0.2,40,0.7248,0.4945,0.1389,0.1644,0.172,0.2974,0.666,0.9875,0.6164,0.9625,0.4686,0.945,894.7379,1.3101
10,20,120,30,0,59,0.8963,0.5216,0.0095,0.0066,0.0125,0.0117,0.6897,0.9424,0.5987,0.8814,0.4725,0.8542,918.0579,1.4599
10,20,140,30,0,56,0.8978,0.5319,0.0095,0.0067,0.0124,0.0113,0.6825,0.9411,0.5794,0.8929,0.4754,0.8589,904.3353,1.3048
20,20,100,30,0,55,0.9064,0.5388,0.0275,0.0078,0.032,0.0122,0.7222,0.9473,0.5964,0.8618,0.4878,0.8618,1018.0934,1.7686
20,20,140,10,0,50,0.8992,0.5395,0.0248,0.0307,0.0295,0.054,0.6803,0.93,0.549,0.88,0.4846,0.836,965.0537,0.8305
20,20,80,55,0,52,0.9089,0.5421,0.0281,0.0359,0.0343,0.0549,0.7102,0.9577,0.6308,0.8923,0.4972,0.8692,1038.9492,1.9038
10,20,120,55,0,57,0.8767,0.5478,0.0309,0.0094,0.0352,0.0119,0.6878,0.9368,0.6077,0.8825,0.4884,0.8789,929.6787,1.3174
10,20,100,80,0,57,0.877,0.5709,0.0344,0.0121,0.0373,0.0144,0.6924,0.9474,0.6309,0.8807,0.4676,0.8789,947.7616,1.5133
10,20,100,30,0,68,0.9001,0.5761,0.0094,0.0062,0.0125,0.0117,0.6981,0.9338,0.6141,0.8544,0.5028,0.8515,939.0501,1.303
20,20,120,10,0,58,0.9168,0.588,0.0102,0.0049,0.015,0.0186,0.6842,0.919,0.6017,0.8569,0.4849,0.8328,989.2792,0.902
10,20,120,10,0,72,0.8915,0.5907,0.0059,0.022,0.0074,0.0522,0.6808,0.9306,0.5912,0.8347,0.4868,0.8403,929.1969,0.7496
10,20,100,55,0,60,0.8754,0.5915,0.0309,0.0093,0.0359,0.0123,0.6987,0.9367,0.622,0.8733,0.5037,0.8583,942.9441,1.3893
20,20,80,30,0,61,0.9044,0.5982,0.0271,0.0069,0.0321,0.0113,0.7128,0.9508,0.6364,0.8475,0.5136,0.8508,1032.6892,1.6539
10,20,140,10,0,65,0.8923,0.5982,0.0094,0.0059,0.0142,0.0076,0.6779,0.9354,0.6035,0.8585,0.4849,0.8646,910.2741,0.9733
10,20,80,55,0,66,0.8769,0.6126,0.0309,0.0091,0.0359,0.0115,0.698,0.9348,0.651,0.8561,0.5139,0.8515,958.8949,1.3527
