n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,n_topics,outlier_ratio_before,outlier_ratio_after,ratio_topic_0_after,ratio_topic_1_after,ratio_topic_0_force,ratio_topic_1_force,coherence_before,diversity_before,coherence_after,diversity_after,coherence_force,diversity_force,time_seconds,score
5,3,140,55,0.2,5,0.7,43,0.2197,0.134,0.7659,0.0137,0.844,0.016,0.6644,0.9651,0.6641,0.9419,0.4112,0.9744,729.9502,2.0288
15,10,140,105,0.2,5,0.7,77,0.6559,0.5587,0.0644,0.0495,0.0733,0.0606,0.6591,0.9766,0.6649,0.9675,0.4176,0.9688,912.9351,2.019
15,10,120,105,0.2,5,0.7,87,0.6548,0.5783,0.0642,0.0485,0.0714,0.0597,0.666,0.9701,0.6766,0.9529,0.4336,0.9563,949.6172,1.93
15,5,140,105,0.2,5,0.7,69,0.6163,0.4771,0.115,0.062,0.188,0.0706,0.6606,0.9783,0.6477,0.9609,0.3864,0.9739,858.4123,1.823
15,5,120,80,0.2,5,0.7,76,0.5743,0.471,0.1598,0.0592,0.2659,0.0682,0.6586,0.9803,0.6518,0.9566,0.434,0.9684,874.5262,1.8205
15,10,120,80,0.2,5,0.7,88,0.6395,0.556,0.1013,0.0618,0.1865,0.0709,0.6687,0.9739,0.6652,0.942,0.4452,0.95,948.7519,1.6885
15,10,140,80,0.2,5,0.7,74,0.6384,0.5364,0.1051,0.0622,0.1839,0.0722,0.6627,0.9784,0.639,0.9568,0.4263,0.9595,905.7959,1.6482
15,5,120,105,0.2,5,0.7,77,0.613,0.5153,0.1034,0.0616,0.1874,0.0706,0.6561,0.9714,0.6524,0.9571,0.3969,0.9571,875.704,1.6094
15,5,140,80,0.2,5,0.7,65,0.5759,0.4459,0.1707,0.0599,0.27,0.0702,0.6501,0.9769,0.6292,0.9662,0.4082,0.9769,843.4728,1.6014
15,5,100,80,0.2,5,0.7,88,0.5704,0.4907,0.1486,0.0588,0.2607,0.0686,0.6713,0.967,0.6472,0.9375,0.4519,0.9682,928.7847,1.5291
5,10,140,55,0.2,5,0.7,109,0.5468,0.4524,0.0779,0.0719,0.0852,0.0938,0.6613,0.9743,0.6449,0.9376,0.4328,0.9477,977.4331,1.5277
5,3,120,55,0.2,5,0.7,56,0.2133,0.1305,0.7614,0.0137,0.8355,0.016,0.6724,0.9554,0.6091,0.9375,0.4318,0.9429,778.3576,1.513
5,5,140,80,0.2,5,0.7,101,0.5647,0.4378,0.0752,0.0589,0.0854,0.0746,0.6593,0.9693,0.6245,0.9416,0.3852,0.9446,902.1545,1.4814
5,5,120,80,0.2,5,0.7,116,0.5571,0.4493,0.0753,0.0562,0.0849,0.0712,0.6624,0.9612,0.639,0.9379,0.4272,0.9405,966.4954,1.47
5,10,120,55,0.2,5,0.7,129,0.5403,0.4662,0.0751,0.0694,0.0835,0.0938,0.6706,0.9581,0.6637,0.9295,0.4576,0.9372,1056.1457,1.4395
5,5,140,55,0.2,5,0.7,94,0.5127,0.3994,0.0751,0.0926,0.0855,0.1474,0.6639,0.9723,0.6437,0.9426,0.3959,0.9436,887.2762,1.4127
5,3,140,80,0.2,5,0.7,51,0.3055,0.1817,0.6079,0.0807,0.7121,0.0865,0.6749,0.9608,0.6435,0.9627,0.3957,0.9745,739.8146,1.3994
15,10,140,30,0.2,5,0.7,54,0.5033,0.3595,0.3886,0.065,0.5721,0.0785,0.6297,0.9796,0.6231,0.9889,0.4564,0.9722,870.8969,1.3954
5,5,140,105,0.2,5,0.7,115,0.6171,0.5132,0.0728,0.0468,0.0859,0.0647,0.6569,0.9626,0.6431,0.927,0.3872,0.9322,927.036,1.3691
15,10,100,80,0.2,5,0.7,97,0.6362,0.5575,0.0955,0.0619,0.1866,0.0747,0.6712,0.9608,0.6607,0.9299,0.4683,0.9536,997.7476,1.3666
15,10,120,30,0.2,5,0.7,59,0.5019,0.3944,0.3612,0.0652,0.574,0.0807,0.6328,0.9814,0.6244,0.9763,0.4832,0.9678,892.1983,1.3307
5,10,120,80,0.2,5,0.7,135,0.5841,0.5152,0.0705,0.054,0.0852,0.0696,0.6717,0.9511,0.6553,0.9222,0.423,0.9193,1051.6081,1.3066
15,10,140,55,0.2,5,0.7,70,0.5811,0.4681,0.1527,0.0679,0.2358,0.0726,0.6389,0.9786,0.6136,0.9686,0.4483,0.97,899.3641,1.2923
5,10,140,80,0.2,5,0.7,118,0.5895,0.5068,0.0704,0.0556,0.0846,0.0715,0.6642,0.9619,0.6295,0.9322,0.3993,0.9339,984.9104,1.2888
