n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics,n_topics_after,outlier_ratio,coherence,diversity,time_seconds
10,10,80,50,0.17,54,54,0.822116398809291,0.515562404675131,0.953703703703704,3877.1375
10,10,60,30,0.23,21,21,0.48568649358158,0.465639149308032,0.952380952380952,2440.31821
5,10,100,30,0.23,30,30,0.534271940995851,0.446658213518594,0.946666666666667,2602.368995
5,20,60,30,0.23,45,45,0.519239634036768,0.433449659794488,0.948888888888889,2629.411716
10,10,100,10,0.17,17,17,0.574645873537983,0.410569747750525,0.988235294117647,2797.780078
10,10,80,30,0.17,49,49,0.775683446492332,0.410157685842552,0.963265306122449,3667.959219
10,10,100,10,0.23,9,9,0.18469267370362,0.382674160236686,1,1160.791171
10,10,80,10,0.17,25,25,0.571778484424686,0.381510346398103,0.992,2790.406056
5,10,80,30,0.23,36,36,0.536955723449305,0.378155675569758,0.947222222222222,2610.1795
10,10,40,10,0.23,27,27,0.180137665929636,0.375636784389382,0.914814814814815,1147.606204
10,10,60,30,0.17,57,57,0.774374760725364,0.365722181525652,0.959649122807018,3661.114685
10,10,80,50,0.23,30,30,0.638087834300849,0.360329223501008,0.966666666666667,3086.601929
5,20,100,50,0.23,51,51,0.665968700924284,0.354230166799007,0.943137254901961,3269.766657
10,10,40,50,0.17,75,75,0.819624036065036,0.346819573699145,0.925333333333333,3861.471123
5,10,60,10,0.23,23,23,0.158034549304248,0.339017914413819,0.9,1014.732241
5,20,100,30,0.17,69,69,0.76031908493566,0.336207893758774,0.915942028985507,3661.127431
10,10,100,50,0.23,27,27,0.639154315537811,0.328128694927863,0.97037037037037,3087.488618
5,10,60,50,0.23,75,75,0.656413341563079,0.325909129007848,0.886666666666667,3138.704381
5,10,100,10,0.23,13,13,0.143494464454532,0.325849965175185,0.938461538461539,945.751016
10,20,40,10,0.23,31,31,0.185985733371878,0.324152255791685,0.954838709677419,1235.698957
10,20,40,30,0.17,76,76,0.772464470158058,0.323434644494995,0.901315789473684,3738.216572
5,10,100,50,0.23,50,50,0.655600784430155,0.318808011157242,0.938,3180.115977
10,10,60,10,0.23,18,18,0.181899508559196,0.317489291712651,0.955555555555556,1154.230015
5,20,80,10,0.17,61,61,0.571778484424686,0.314359565003172,0.921311475409836,2845.127882
5,10,100,50,0.17,71,71,0.781453383441023,0.313487087853579,0.912676056338028,3677.638362
5,20,80,50,0.17,80,80,0.782324538444109,0.313435205721861,0.87875,3770.737067
5,20,80,10,0.23,15,15,0.146467329734122,0.31236394071779,0.953333333333333,1048.244223
5,10,40,10,0.23,39,39,0.197318561461353,0.310956664209659,0.915384615384615,1177.550985
