n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,n_topics,n_topics_after,outlier_ratio,coherence,diversity,time_seconds
20,20,275,185,0,16,16,0.867299263229446,0.627707713709215,0.99375,4272.908886
20,20,375,80,0.2,10,10,0.812393058886953,0.624705583744547,1,3962.713768
20,20,275,80,0,18,18,0.900133603143971,0.545921920348039,0.977777777777778,4364.692706
10,20,175,185,0,27,27,0.862345789938355,0.545588508112848,0.966666666666667,4292.981866
10,20,175,80,0,34,34,0.885093483135533,0.534500685785899,0.973529411764706,4283.275967
10,20,275,80,0,23,23,0.880843184286395,0.516476142756285,0.960869565217391,4175.243455
20,20,175,80,0.2,16,16,0.811002336101757,0.47867754745205,0.98125,3898.654444
10,20,175,80,0.2,28,28,0.798481924510317,0.473965930241095,0.975,7083.91274
10,20,275,185,0,22,22,0.859779203225227,0.406996833650582,0.972727272727273,4101.811623
10,20,275,290,0.2,19,19,0.859880772866842,0.406952804616253,0.994736842105263,4129.179659
20,20,375,185,0.2,13,13,0.829546608745927,0.404917661729814,0.984615384615385,4094.34444
10,20,275,290,0,20,20,0.902184528599667,0.402918671669368,0.975,4319.864072
10,20,375,185,0.2,16,16,0.823702447828363,0.402188799505894,0.98125,3933.239008
10,20,175,290,0,23,23,0.903770577618739,0.400083810515438,0.965217391304348,4547.637554
20,20,175,290,0.2,16,16,0.878155495308264,0.393349145828944,0.98125,4327.590401
10,20,175,185,0.2,25,25,0.823167253947543,0.374743493203445,0.972,4027.960763
20,20,175,290,0,17,17,0.916748052597448,0.343241493663698,0.988235294117647,4527.032496
20,20,375,80,0,15,15,0.903739325421319,0.32520278842495,0.98,4375.767029
10,20,475,80,0.2,12,12,0.785523982154995,0.308614369312823,0.983333333333333,3729.953415
20,20,275,80,0.2,13,13,0.808787336609605,0.302058757327295,0.992307692307692,3951.252089
10,20,275,185,0.2,20,20,0.820600667234415,0.273564664000875,0.975,3927.838101
10,20,175,290,0.2,21,21,0.85816971505809,0.267050119356614,0.980952380952381,4182.025073
10,20,375,80,0.2,15,15,0.782781601831379,0.244165521325371,0.96,3720.142514
10,20,275,80,0.2,18,18,0.802532990600902,0.208365996157858,0.966666666666667,3817.527286
20,20,175,185,0.2,19,19,0.856228172293364,0.176065675493395,0.984210526315789,4138.687846
10,20,475,185,0,15,15,0.863513840816932,0.139041922887067,0.98,4105.05832
10,20,475,185,0.2,14,14,0.826855013243119,0.085813702531206,0.971428571428571,3939.780475
20,20,175,80,0,24,24,0.908513098577244,0.0262770865332872,0.954166666666667,4330.226815
10,20,375,80,0,19,19,0.880249392535413,0,0.963157894736842,4153.373197
10,20,375,185,0,17,17,0.860361275402177,0,0.976470588235294,4090.67414
10,20,375,290,0,15,15,0.901414943238196,0,0.993333333333333,4291.018673
10,20,375,290,0.2,14,14,0.859111187505372,0,0.978571428571428,4184.519608
10,20,475,80,0,16,16,0.885198959301826,0,0.975,4168.171535
10,20,475,290,0,13,13,0.896254424139197,0,0.984615384615385,4282.902401
10,20,475,290,0.2,12,12,0.853950668406372,0,0.975,4103.584987
20,20,175,185,0,20,20,0.896262237188552,0,0.975,4309.553334
20,20,275,185,0.2,15,15,0.827265198334258,0,0.986666666666667,4086.390889
20,20,275,290,0,14,14,0.904883937151831,0,0.971428571428571,4458.597418
20,20,275,290,0.2,13,13,0.866291379862647,0,0.976923076923077,4273.978864
20,20,375,185,0,14,14,0.869580673641115,0,0.985714285714286,4282.411228
