n_neighbors,n_components,min_cluster_size,min_samples,cluster_selection_epsilon,min_df,max_df,cluster_selection_method,n_topics_before,outlier_ratio_before,topic_coverage_before,coherence_before,diversity_before,n_topics_after,outlier_ratio_after,topic_coverage,ratio_topic_0,ratio_topic_1,coherence,diversity,n_topics_force,topic_coverage_force,ratio_topic_0_force,ratio_topic_1_force,coherence_force,diversity_force,time_seconds
60,5,150,40,0,1,0.5,eom,3,0.00205873850505114,0.997941261494949,0.335775675622049,1,3,0.00205873850505114,0.997941261494949,0.983096467720387,0.0107702885359127,0.335775675622049,1,3,0.997941261494949,0.983096467720387,0.0107702885359127,0.335775675622049,1,796.993451
60,5,300,40,0,1,0.5,eom,3,0.00205873850505114,0.997941261494949,0.335775675622049,1,3,0.00205873850505114,0.997941261494949,0.983096467720387,0.0107702885359127,0.335775675622049,1,3,0.997941261494949,0.983096467720387,0.0107702885359127,0.335775675622049,1,795.60954
60,5,300,10,0,1,0.5,eom,3,0.00270331507684134,0.997296684923159,0.363605567879371,1,3,0.00270331507684134,0.997296684923159,0.982799571844895,0.0104538600370339,0.363605567879371,1,3,0.997296684923159,0.982799571844895,0.0104538600370339,0.363605567879371,1,790.79778
30,5,300,80,0,1,0.5,eom,3,0.00287520216265206,0.997124797837348,0.331664241086967,1,3,0.00287520216265206,0.997124797837348,0.982283910587463,0.0107312232891375,0.331664241086967,1,3,0.997124797837348,0.982283910587463,0.0107312232891375,0.331664241086967,1,578.33858
60,5,150,80,0,1,0.5,eom,3,0.00291426740942723,0.997085732590573,0.363605567879371,1,3,0.00291426740942723,0.997085732590573,0.982393293278434,0.0105476166292942,0.363605567879371,1,3,0.997085732590573,0.982393293278434,0.0105476166292942,0.363605567879371,1,803.940035
60,5,300,80,0,1,0.5,eom,3,0.00291426740942723,0.997085732590573,0.363605567879371,1,3,0.00291426740942723,0.997085732590573,0.982393293278434,0.0105476166292942,0.363605567879371,1,3,0.997085732590573,0.982393293278434,0.0105476166292942,0.363605567879371,1,802.480931
30,5,300,10,0,1,0.5,eom,3,0.00349633958637717,0.996503660413623,0.331664241086967,1,3,0.00349633958637717,0.996503660413623,0.982373760655046,0.0103522903954184,0.331664241086967,1,3,0.996503660413623,0.982373760655046,0.0103522903954184,0.331664241086967,1,566.395892
30,5,300,40,0,1,0.5,eom,3,0.00372682454235063,0.996273175457649,0.331664241086967,1,3,0.00372682454235063,0.996273175457649,0.982373760655046,0.0101921228836403,0.331664241086967,1,3,0.996273175457649,0.982373760655046,0.0101921228836403,0.331664241086967,1,574.879324
10,5,300,40,0,1,0.5,eom,3,0.00892640888812495,0.991073591111875,0.28955752834051,1,3,0.00892640888812495,0.991073591111875,0.979393082326101,0.00971943339766077,0.28955752834051,1,3,0.991073591111875,0.979393082326101,0.00971943339766077,0.28955752834051,1,408.542306
10,5,300,10,0,1,0.5,eom,3,0.00963739637943293,0.990362603620567,0.300223794501898,1,3,0.00963739637943293,0.990362603620567,0.978971177660929,0.00930924830652155,0.300223794501898,1,3,0.990362603620567,0.978971177660929,0.00930924830652155,0.300223794501898,1,406.337767
