n_neighbors,min_cluster_size,min_samples,cluster_selection_method,n_topics,outlier_ratio_before_reduction,coherence_before_after_reduction,diversity_before_reduction,outlier_ratio_after_reduction,ratio_topic_0_after_reduction,ratio_topic_1_after_reduction,coherence_after_reduction,diversity_after_reduction
30,50,10,leaf,277,0.817,0.696,0.952,0.668,0.021,0.004,0.642,0.86
30,50,10,eom,246,0.72,0.691,0.957,0.603,0.046,0.048,0.64,0.873
50,50,10,leaf,222,0.849,0.697,0.952,0.651,0.004,0.004,0.646,0.868
30,50,40,leaf,211,0.796,0.72,0.959,0.645,0.042,0.005,0.666,0.882
70,50,10,leaf,202,0.819,0.72,0.957,0.631,0.039,0.005,0.631,0.847
50,50,10,eom,196,0.711,0.685,0.957,0.581,0.064,0.044,0.637,0.884
90,50,10,leaf,194,0.834,0.712,0.951,0.64,0.043,0.006,0.63,0.843
30,50,40,eom,182,0.684,0.713,0.964,0.562,0.07,0.053,0.659,0.896
50,50,40,leaf,182,0.817,0.717,0.964,0.615,0.048,0.007,0.64,0.885
90,50,10,eom,173,0.778,0.7,0.961,0.589,0.045,0.052,0.616,0.866
70,50,40,leaf,161,0.826,0.723,0.963,0.604,0.05,0.008,0.657,0.876
90,50,40,leaf,151,0.821,0.728,0.964,0.603,0.06,0.007,0.664,0.885
30,150,10,leaf,104,0.774,0.653,0.973,0.407,0.059,0.019,0.481,0.944
30,150,40,leaf,92,0.768,0.662,0.979,0.399,0.064,0.025,0.521,0.952
50,150,10,leaf,90,0.842,0.671,0.973,0.429,0.019,0.009,0.475,0.934
30,150,80,leaf,86,0.783,0.652,0.98,0.404,0.066,0.024,0.507,0.955
70,150,10,leaf,81,0.802,0.663,0.98,0.387,0.062,0.008,0.457,0.947
90,150,10,leaf,76,0.822,0.671,0.976,0.356,0.063,0.008,0.497,0.939
50,150,40,leaf,74,0.806,0.674,0.98,0.42,0.065,0.02,0.499,0.951
90,150,40,leaf,72,0.815,0.667,0.978,0.324,0.066,0.023,0.499,0.94
70,150,40,leaf,71,0.814,0.666,0.977,0.382,0.064,0.019,0.49,0.946
50,150,80,leaf,70,0.8,0.665,0.981,0.342,0.067,0.027,0.487,0.943
70,150,80,leaf,66,0.817,0.667,0.979,0.258,0.068,0.024,0.488,0.945
90,150,80,leaf,64,0.819,0.671,0.977,0.32,0.067,0.025,0.492,0.944
30,250,10,leaf,61,0.765,0.557,0.992,0.281,0.064,0.032,0.404,0.975
50,250,10,leaf,58,0.785,0.58,0.99,0.209,0.068,0.032,0.351,0.978
30,250,40,leaf,55,0.765,0.551,0.991,0.319,0.066,0.032,0.432,0.978
30,250,80,leaf,52,0.78,0.554,0.992,0.307,0.068,0.028,0.425,0.988
50,250,40,leaf,51,0.794,0.549,0.986,0.19,0.066,0.038,0.359,0.978
70,250,10,leaf,50,0.798,0.539,0.992,0.186,0.065,0.031,0.356,0.978
90,250,10,leaf,48,0.799,0.572,0.996,0.16,0.072,0.035,0.394,0.967
30,250,150,leaf,48,0.778,0.553,0.992,0.197,0.07,0.038,0.37,0.983
50,250,80,leaf,47,0.787,0.576,0.987,0.165,0.074,0.034,0.393,0.979
30,350,10,leaf,47,0.77,0.465,0.994,0.176,0.065,0.038,0.382,0.981
30,350,40,leaf,47,0.763,0.516,0.991,0.235,0.066,0.037,0.363,0.977
