period,topic,in_topic_chart,in_topic_non_chart,not_in_topic_chart,not_in_topic_non_chart,n_in_topic,n_total,observed_chart_rate,expected_chart_rate,rate_difference,chi2,p_value,phi,direction,p_adjusted,significant
1955-1959,0,2,6,,,8,2560,0.25,0.034765625,0.215234375,,1.0,0.0,neutral,1.0,False
1955-1959,1,8,140,81.0,2331.0,148,2560,0.05405405405405406,0.034765625,0.019288429054054056,,0.1692828893419699,0.021514059143201925,overrepresented,0.5694953338209776,False
1955-1959,2,0,19,89.0,2452.0,19,2560,0.0,0.034765625,-0.034765625,,1.0,0.0039886994459630305,underrepresented,1.0,False
1955-1959,3,4,37,85.0,2434.0,41,2560,0.0975609756097561,0.034765625,0.0627953506097561,,0.05192567374112343,0.035240244529366166,overrepresented,0.28559120557617884,False
1955-1959,4,0,40,89.0,2431.0,40,2560,0.0,0.034765625,-0.034765625,,0.4005093289433459,0.015313455643983221,underrepresented,0.8687103754545813,False
1955-1959,5,0,1,,,1,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,6,0,18,89.0,2453.0,18,2560,0.0,0.034765625,-0.034765625,,1.0,0.003209966278168826,underrepresented,1.0,False
1955-1959,7,5,271,84.0,2200.0,276,2560,0.018115942028985508,0.034765625,-0.016649682971014493,,0.11915545968997171,0.028157432094858485,underrepresented,0.46860857243361187,False
1955-1959,8,0,38,89.0,2433.0,38,2560,0.0,0.034765625,-0.034765625,,0.6414415566733198,0.014478947595290883,underrepresented,1.0,False
1955-1959,9,0,7,,,7,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,10,2,64,87.0,2407.0,66,2560,0.030303030303030304,0.034765625,-0.0044625946969696975,,1.0,0.0,underrepresented,1.0,False
1955-1959,11,0,10,89.0,2461.0,10,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,underrepresented,1.0,False
1955-1959,12,0,10,89.0,2461.0,10,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,underrepresented,1.0,False
1955-1959,13,0,11,89.0,2460.0,11,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,underrepresented,1.0,False
1955-1959,14,8,63,81.0,2408.0,71,2560,0.11267605633802817,0.034765625,0.07791043133802816,,0.0027457946177065003,0.06533961656251351,overrepresented,0.03252710547129239,True
1955-1959,15,0,10,89.0,2461.0,10,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,underrepresented,1.0,False
1955-1959,16,7,48,82.0,2423.0,55,2560,0.12727272727272726,0.034765625,0.09250710227272727,,0.0025229659586228823,0.06747399664982333,overrepresented,0.03027559150347459,True
1955-1959,17,2,42,87.0,2429.0,44,2560,0.045454545454545456,0.034765625,0.010688920454545454,,0.6645803845143096,0.0,overrepresented,1.0,False
1955-1959,18,4,442,85.0,2029.0,446,2560,0.008968609865470852,0.034765625,-0.02579701513452915,,0.0003188959801742836,0.06187243575687031,underrepresented,0.005559620484547888,True
1955-1959,19,2,23,87.0,2448.0,25,2560,0.08,0.034765625,0.045234375,,0.2150476623321255,0.013679876116360193,overrepresented,0.6645620066718527,False
1955-1959,20,0,0,,,0,2560,0.0,0.034765625,0.0,,1.0,0.0,neutral,1.0,False
1955-1959,21,0,31,89.0,2440.0,31,2560,0.0,0.034765625,-0.034765625,,0.6250825663923942,0.01126371197012874,underrepresented,1.0,False
1955-1959,22,0,58,89.0,2413.0,58,2560,0.0,0.034765625,-0.034765625,,0.2659372393222351,0.021730339203508905,underrepresented,0.7406254827044715,False
1955-1959,23,0,31,89.0,2440.0,31,2560,0.0,0.034765625,-0.034765625,,0.6250825663923942,0.01126371197012874,underrepresented,1.0,False
1955-1959,24,0,23,89.0,2448.0,23,2560,0.0,0.034765625,-0.034765625,,1.0,0.006770797673499334,underrepresented,1.0,False
1955-1959,25,0,29,89.0,2442.0,29,2560,0.0,0.034765625,-0.034765625,,0.623542911295059,0.010240021040734388,underrepresented,1.0,False
1955-1959,26,3,100,86.0,2371.0,103,2560,0.02912621359223301,0.034765625,-0.005639411407766991,,1.0,0.0008774407072695428,underrepresented,1.0,False
1955-1959,27,1,8,,,9,2560,0.1111111111111111,0.034765625,0.07634548611111111,,1.0,0.0,neutral,1.0,False
1955-1959,28,0,4,,,4,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,29,0,40,89.0,2431.0,40,2560,0.0,0.034765625,-0.034765625,,0.4005093289433459,0.015313455643983221,underrepresented,0.8687103754545813,False
1955-1959,30,0,39,89.0,2432.0,39,2560,0.0,0.034765625,-0.034765625,,0.6448462081970402,0.014900206084919966,underrepresented,1.0,False
1955-1959,31,11,319,78.0,2152.0,330,2560,0.03333333333333333,0.034765625,-0.0014322916666666685,,1.0,0.0,underrepresented,1.0,False
1955-1959,32,1,17,88.0,2454.0,18,2560,0.05555555555555555,0.034765625,0.02078993055555555,,0.4722225776046449,0.0,overrepresented,0.9506179993609845,False
1955-1959,33,2,10,87.0,2461.0,12,2560,0.16666666666666666,0.034765625,0.13190104166666666,,0.0629078112279152,0.03380426635998153,overrepresented,0.3284000992914895,False
1955-1959,34,0,7,,,7,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,35,3,20,86.0,2451.0,23,2560,0.13043478260869565,0.034765625,0.09566915760869565,,0.043517899281491905,0.038426704397317615,overrepresented,0.25611808239553197,False
1955-1959,36,0,2,,,2,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,37,0,1,,,1,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
1955-1959,38,0,13,89.0,2458.0,13,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,underrepresented,1.0,False
1955-1959,39,0,24,89.0,2447.0,24,2560,0.0,0.034765625,-0.034765625,,1.0,0.007398814571305153,underrepresented,1.0,False
1955-1959,40,2,30,87.0,2441.0,32,2560,0.0625,0.034765625,0.027734375,,0.3064235610167523,0.007437325209659941,overrepresented,0.7930962755727706,False
1955-1959,41,1,43,88.0,2428.0,44,2560,0.022727272727272728,0.034765625,-0.012038352272727273,,1.0,0.00048708029413899515,underrepresented,1.0,False
1955-1959,42,2,31,87.0,2440.0,33,2560,0.06060606060606061,0.034765625,0.025840435606060606,,0.31942670802769846,0.006668018305171177,overrepresented,0.8076967397322432,False
1955-1959,43,3,48,86.0,2423.0,51,2560,0.058823529411764705,0.034765625,0.024057904411764704,,0.2603332419949639,0.011093780746847205,overrepresented,0.7406254827044715,False
1955-1959,44,0,0,,,0,2560,0.0,0.034765625,0.0,,1.0,0.0,neutral,1.0,False
1955-1959,45,1,13,88.0,2458.0,14,2560,0.07142857142857142,0.034765625,0.03666294642857142,,0.39144352577742064,0.0003840204246453231,overrepresented,0.8661787650198977,False
1955-1959,46,5,68,84.0,2403.0,73,2560,0.0684931506849315,0.034765625,0.0337275256849315,,0.10742149503005126,0.025138101731008694,overrepresented,0.43887761287283017,False
1955-1959,47,0,0,,,0,2560,0.0,0.034765625,0.0,,1.0,0.0,neutral,1.0,False
1955-1959,48,2,38,87.0,2433.0,40,2560,0.05,0.034765625,0.015234375000000001,,0.6484548559458082,0.001880599815927764,overrepresented,1.0,False
1955-1959,49,0,21,89.0,2450.0,21,2560,0.0,0.034765625,-0.034765625,,1.0,0.005439298851989962,underrepresented,1.0,False
1955-1959,50,0,9,,,9,2560,0.0,0.034765625,-0.034765625,,1.0,0.0,neutral,1.0,False
