Topic,Words,Frequency,Timestamp,Global_Representation
-1,"armstrongs, 1957, 1958, gig, jahr 1959",1116,1955-1959,Gig‑Dialog: Weibliche Eifersucht im Dancehall
0,"if forget, mag liebe, must dreaming, won fear, gefunden spiegel",8,1955-1959,Zerrissener innerer Monolog und Selbstreflexion
1,"frühen rock, bop, mambo, roll ära, cha cha",148,1955-1959,Rave‑Kultur: kollektiver Tanz
2,"raining, ida, wetterphänomen, drip, äußere wetter",19,1955-1959,Regen als Symbol gebrochener Liebe
3,"weihnachtsmanns, claus, santa claus, merry christmas, weihnachtszeit",41,1955-1959,Weihnachtszeitliche Symbolik und Gemeinschaft
4,"money honey, mort, got plenty, voo, nuttin",40,1955-1959,Bissige Satire über Geldliebe
5,"luigi, prima, leiten bleibt, geschäftssinn, übertriebenen bildnissen",1,1955-1959,"Straßenrap: Luxus, Drogen, Gewalt"
6,"cumberland, corey, maybelline, gap, can true",18,1955-1959,"Fahrzeug, Fahrer und Mobilität"
7,"romantische ideologie, simple tief, klassisches liebeslied, liebe allumfassende, liebesmanifest",276,1955-1959,Allumfassendes Liebesmanifest
8,"eisenbahn, choo, lokomotive, zugfahrt, choo choo",38,1955-1959,Zugmetaphern in moderner Musik
9,"heaven have, zeuge täter, wahrsager, get yours, cry cry",7,1955-1959,"Zerrissene Psyche, Selbstzerstörung, innere Qual"
10,"christlicher, vertrauen göttliche, ave, glaubensbekenntnis, bekenntnis christlicher",66,1955-1959,Christliche Glaubensbekenntnis und Anbetung
11,"down below, captured, witch, tender trap, feuer genährt",10,1955-1959,Feuer als Metapher für Liebe
12,"angel eyes, angel child, himmlisches wesen, empty arms, glück verspricht",10,1955-1959,Engel‑Ikonografie: Reinheit und Fall
13,"draft, feindseligkeiten, sterne meer, gewogen, trügerischen ruhe",11,1955-1959,Umweltzerstörung: Protest der Bevölkerung
14,"signorina, vermont, blue moon, dream little, little dream",71,1955-1959,Sommerliebe im Mondlicht
15,"africa, morgengrußes, chipmunks, happy days, here again",10,1955-1959,Kollektiver Aufruf zur Gerechtigkeit
16,"seemanns, avalon, waterfront, dreamboat, sailor",55,1955-1959,"Maritime Reisen, Mythen und Hafen"
17,"lonely street, casa, somewhere along, way home, nachkriegszeit besonders",44,1955-1959,Heimweh und Rückkehr
18,"klassisches beispiel, jahr 1959, innenleben sehnsucht, unerwiderter liebe, bess",446,1955-1959,"Zerrissenes Innenleben, unerwiderte Liebe"
19,"jahr 1955, 1955, como, kulturelles echo, ve lived",25,1955-1959,Aufruf zur Selbstbestimmung und Resilienz
21,"bethlehem, hirten, christi, inkarnation, weihnachtsgeschichte",31,1955-1959,Weihnachtsgeschichte: Geburt Jesu
22,"violine, close comfort, prisoner love, crazy love, too close",58,1955-1959,Femme Fatale: gefährliche Verführung und Selbstzerstörung
23,"basin, creole, armstrongs, monterey, mardi",31,1955-1959,Amerikanische Reise‑ und Freiheitslyrik
24,"sorry now, who sorry, way now, plead, see later",23,1955-1959,Selbstbefreiung aus toxischer Beziehung
25,"never saw, schwalben, saw sun, blauen vogels, bluebird",29,1955-1959,"Flug über Regenbogen, Begrenzungen"
26,"morgenstern, arriba, liebe alltägliche, choo, mütterliche liebe",103,1955-1959,Allumfassende kosmische Liebesbegegnung
27,"tic, almost grown, tic tic, bindung kind, kind mutter",9,1955-1959,"Mütterliche Liebe, Rollen, Vaterabwesenheit"
28,"one baby, more road, barkeepers, baby one, drowned",4,1955-1959,"Alkohol, Bar, Herzschmerz, Flucht"
29,"such as, goody, selbstbezeichnung fool, fools rush, then there",40,1955-1959,Selbstbezeichnung als Narr in Beziehungen
30,"fats domino, fats, honky tonkin, tonkin, domino jahr",39,1955-1959,Telefonische Kommunikation und Entfremdung
31,"frühen rock, beispiel jugendliche, jugendlicher verliebtheit, 1957, jahr 1957",330,1955-1959,Jugendliche Pop‑Liebeserklärung
32,"thursday, columbus, armstrongs, jungen jahre, christopher columbus",18,1955-1959,Nostalgischer Rückblick: Kindheit & Erwachsensein
33,"nutzt winterliche, overcoat, off with, love keep, keep warm",12,1955-1959,Wintersturm und heimische Geborgenheit
34,"zärtliches wiegenlied, busy day, little one, big world, dis",7,1955-1959,Sandmann – nächtliches Schlaflied
35,"kartoffeln, rattle, charlie brown, rattle roll, shake rattle",23,1955-1959,Digitale Entfremdung und Bürokratie
36,"diamonds sky, schuld sofort, intensiven ekstase, verspottet ironische, moment haltens",2,1955-1959,Goldene Alchemie der Liebe
37,"snoop, bildsprache rohen, zeitlose wiederkehr, animalisch primitiven, hate one",1,1955-1959,Westküsten‑Gangsta‑Rap von Snoop Dog​g
38,"gambler, spielers, losing hand, glücksspiels, words with",13,1955-1959,"Kartenspiele, Würfel und Roulette"
39,"peas, uncle sam, general, esels, timber",24,1955-1959,"Amerikas Patriotismus, Indigene und Schuld"
40,"career, yea, ll try, get by, freund hast",32,1955-1959,Bedingungslose Unterstützung und Verlässlichkeit
41,"st louis, singing blues, sing blues, blues blues, blues gefühl",44,1955-1959,Blues-Textanalyse: Verlust und Sehnsucht
42,"davy, utah, wilden westens, prärie, crockett",33,1955-1959,"Western‑Mythos, Prärie, Rodeo, Reiter"
43,"autumn, laubs, herabfallenden, autumn leaves, fallenden blätter",51,1955-1959,Herbstliche Symbolik von Verlust
45,"riverside, fontäne, by riverside, fluss steht, flussufer",14,1955-1959,Fluss‑Metaphern in Liedtexten
46,"freddy, lollipop, frühen rock, beispiel jugendliche, honeysuckle",73,1955-1959,Erotische Süßmetaphern in Pop
