experiment,llm_model,song_id,n_interpretations,mean_bertscore,std_bertscore,min_bertscore,max_bertscore,median_bertscore
standard,openai,277467,10,0.7522956358061896,0.019739580036396146,0.7204201221466064,0.8089805245399475,0.7474742531776428
standard,openai,265566,10,0.7715682718488905,0.027683649490682225,0.7407651543617249,0.8814646005630493,0.7656792998313904
standard,openai,277630,10,0.7356565329763625,0.022349459221680537,0.7032949924468994,0.8223943114280701,0.7321187257766724
standard,openai,42034,10,0.7264373514387342,0.014166537225758932,0.695124089717865,0.7579629421234131,0.7240945100784302
standard,openai,25880,10,0.7482064061694675,0.04484093307501071,0.7033247947692871,0.9118373394012451,0.7403826713562012
standard,openai,64029,10,0.7463145083851285,0.028915023260107406,0.7032214403152466,0.8046981692314148,0.7420083284378052
standard,openai,247254,10,0.7224818388621013,0.01309157910522877,0.6987076997756958,0.7538365721702576,0.7224748730659485
standard,openai,236598,10,0.7398276276058621,0.020132580765089055,0.6981756091117859,0.7818408012390137,0.7368360757827759
standard,openai,148194,10,0.7537997272279527,0.02840200347037146,0.7114114761352539,0.8501366376876831,0.7484089732170105
standard,openai,206443,10,0.7391252915064493,0.017440351072887023,0.711901068687439,0.8255693316459656,0.7383695244789124
standard,openai,297459,10,0.7301576097806295,0.014602313775882655,0.7011431455612183,0.7721587419509888,0.7287801504135132
standard,openai,57001,10,0.7511010262701246,0.020827883233405262,0.714370608329773,0.8068768978118896,0.7498555779457092
standard,openai,165793_chartsurfer,10,0.75223202308019,0.01549562802546612,0.7237891554832458,0.7823845148086548,0.7474443316459656
standard,openai,325697,10,0.7239959531360203,0.02026534283778143,0.687844455242157,0.769074022769928,0.7222336530685425
standard,openai,24813,10,0.7565573361184862,0.030387234000166453,0.7125633955001831,0.8668115735054016,0.7513711452484131
standard,openai,18486,10,0.7429659022225275,0.018954022601001035,0.7091979384422302,0.7827854156494141,0.7395945191383362
standard,openai,53622,10,0.7675542367829217,0.015345791537728524,0.7355774641036987,0.8192356824874878,0.7676656246185303
standard,openai,339857,10,0.7578467355834113,0.03285778681596166,0.7018063068389893,0.8889376521110535,0.7493128776550293
standard,openai,358207,10,0.757303331957923,0.03446209525652472,0.7182015776634216,0.834260880947113,0.7457253336906433
