experiment,embedding_model,llm_model,song_id,n_interpretations,mean_similarity,std_similarity,min_similarity,max_similarity,median_similarity
standard,gbert-large,openai,277467,10,0.9295436,0.012215431,0.9074442,0.9605459,0.93130136
standard,gbert-large,openai,265566,10,0.96349096,0.008951599,0.9459525,0.9872781,0.9633234
standard,gbert-large,openai,277630,10,0.9444736,0.014592833,0.91579354,0.98173225,0.94387776
standard,gbert-large,openai,42034,10,0.9384992,0.021529179,0.874981,0.97040176,0.9401742
standard,gbert-large,openai,25880,10,0.9578313,0.013263823,0.9286099,0.99017453,0.9578157
standard,gbert-large,openai,64029,10,0.94376814,0.018637395,0.9028051,0.98220253,0.9442551
standard,gbert-large,openai,247254,10,0.9340134,0.01641209,0.89203125,0.9591831,0.93397176
standard,gbert-large,openai,236598,10,0.92433643,0.024684515,0.8649034,0.96353114,0.929708
standard,gbert-large,openai,148194,10,0.9548339,0.014720778,0.92697495,0.9809663,0.9542705
standard,gbert-large,openai,206443,10,0.95366466,0.011044185,0.9261636,0.9839845,0.9538403
standard,gbert-large,openai,297459,10,0.9395541,0.016695192,0.9013007,0.9779055,0.94001025
standard,gbert-large,openai,57001,10,0.9379276,0.016656468,0.89739907,0.97064435,0.9376096
standard,gbert-large,openai,165793_chartsurfer,10,0.9357669,0.0111059835,0.9169505,0.96286374,0.9325987
standard,gbert-large,openai,325697,10,0.9203308,0.031910192,0.84927917,0.9609944,0.93361604
standard,gbert-large,openai,24813,10,0.95396316,0.012636673,0.9279659,0.9833014,0.9523097
standard,gbert-large,openai,18486,10,0.9397683,0.020654589,0.8838613,0.9779999,0.9425015
standard,gbert-large,openai,53622,10,0.91866046,0.01853813,0.87884724,0.9677094,0.92239714
standard,gbert-large,openai,339857,10,0.9476136,0.016294803,0.89892435,0.984181,0.94772804
standard,gbert-large,openai,358207,10,0.9522699,0.018342027,0.9089162,0.9859372,0.95447624
standard,gbert-large,openai,206659,10,0.95487833,0.008735869,0.9363251,0.97381234,0.95691526
standard,gbert-large,openai,31607,10,0.9415697,0.01186636,0.91432345,0.9738349,0.942719
standard,gbert-large,openai,85040,10,0.9527102,0.022737743,0.8963225,0.9798689,0.9582373
standard,gbert-large,openai,277529_chartsurfer,10,0.92690766,0.026959902,0.8522529,0.9789894,0.9294723
standard,gbert-large,openai,188676_chartsurfer,10,0.93397886,0.020007987,0.8765508,0.96985304,0.9341601
standard,gbert-large,openai,117751,10,0.9562329,0.009742637,0.9370764,0.9736116,0.95634985
standard,gbert-large,openai,345132,10,0.9401102,0.0141511755,0.9111327,0.97969687,0.939451
standard,gbert-large,openai,30008_chartsurfer,10,0.940292,0.019747004,0.8915784,0.99158007,0.94151247
standard,gbert-large,openai,64815,10,0.9607155,0.008247315,0.93878245,0.9784626,0.96130836
standard,gbert-large,openai,188049,10,0.926475,0.018090842,0.8824569,0.9560901,0.9281211
standard,gbert-large,openai,162030_chartsurfer,10,0.9370152,0.01753212,0.904904,0.98819876,0.9367167
standard,gbert-large,openai,185605,10,0.94358504,0.03000161,0.8760544,0.98918486,0.95498097
standard,gbert-large,openai,367372,10,0.9534581,0.012319371,0.92842406,0.97849417,0.953725
standard,gbert-large,openai,128346,10,0.9521404,0.016017992,0.9179019,0.9834184,0.95222116
standard,gbert-large,openai,63368,10,0.9502114,0.009999143,0.9296837,0.97251725,0.95109737
standard,gbert-large,openai,46465,10,0.9390189,0.02736521,0.8818821,0.9869738,0.93925285
standard,gbert-large,openai,296035_chartsurfer,10,0.9476399,0.00759727,0.9329604,0.9682263,0.9478816
standard,gbert-large,openai,215027,10,0.9394184,0.017847566,0.9040172,0.97673976,0.9397726
standard,gbert-large,openai,173479,10,0.92785686,0.017609568,0.87651235,0.9557674,0.93018377
standard,gbert-large,openai,91036,10,0.9563474,0.0110176625,0.92726696,0.97728896,0.9574542
standard,gbert-large,openai,328236,10,0.95640105,0.013390755,0.9330215,0.9830613,0.95458424
standard,gbert-large,openai,309877,10,0.9371421,0.018958151,0.89789665,0.9697958,0.9441452
standard,gbert-large,openai,6678,10,0.9338818,0.025448823,0.8592698,0.9795843,0.9392409
standard,gbert-large,openai,216363_chartsurfer,10,0.94988465,0.014647761,0.9174552,0.99752665,0.94879425
standard,gbert-large,openai,117133,10,0.92245185,0.021668347,0.87394476,0.9816532,0.91917384
standard,gbert-large,openai,301337,10,0.93954545,0.020888194,0.88273925,0.9691422,0.9465593
standard,gbert-large,openai,108034,10,0.94539565,0.01323289,0.9195323,0.97573304,0.9467263
standard,gbert-large,openai,320670,10,0.94884,0.0138525,0.90936214,0.9674219,0.95354885
standard,gbert-large,openai,219817,10,0.9375607,0.026373317,0.8779709,0.9809079,0.94336474
standard,gbert-large,openai,724,10,0.93421453,0.013827587,0.8972843,0.962667,0.93566126
standard,gbert-large,openai,269611,10,0.9529802,0.014368257,0.9164193,0.98151004,0.95425564
standard,gbert-large,openai,171850,10,0.922538,0.021425202,0.8759527,0.9567874,0.9289655
standard,gbert-large,openai,264309,10,0.95047057,0.0142665915,0.91365266,0.9730738,0.9554986
standard,gbert-large,openai,204303_chartsurfer,10,0.9427492,0.013525895,0.90999705,0.9675694,0.94320863
standard,gbert-large,openai,25829,10,0.9209374,0.019249199,0.8762609,0.9617491,0.92262566
standard,gbert-large,openai,215823,10,0.93780476,0.0132084135,0.9104513,0.96498495,0.9377584
standard,gbert-large,openai,10058,10,0.95073295,0.015741054,0.9211844,0.98123807,0.9533667
standard,gbert-large,openai,296743,10,0.9448704,0.017912675,0.90484077,0.9731157,0.9467404
standard,gbert-large,openai,64133,10,0.9354777,0.016565317,0.8928703,0.96984005,0.9384585
standard,gbert-large,openai,104576_chartsurfer,10,0.9589067,0.015095064,0.91901433,0.99996096,0.960641
standard,gbert-large,openai,353602,10,0.94814587,0.015151713,0.9130564,0.97770536,0.95097244
standard,gbert-large,openai,260814,10,0.9575005,0.012636646,0.9241382,0.9778724,0.95822227
standard,gbert-large,openai,306235,10,0.9550267,0.01189137,0.9286897,0.990414,0.95458686
standard,gbert-large,openai,159735_chartsurfer,10,0.9540725,0.016940821,0.91567504,0.986894,0.95620894
