experiment,embedding_model,llm_model,mean_similarity_mean,mean_similarity_std,mean_similarity_min,mean_similarity_max,mean_similarity_median,n_songs
prompt_engineering,cross-de,deepseek,0.9555,0.0226,0.8834,0.9968,0.9593,100
prompt_engineering,cross-de,llama,0.9628,0.0201,0.9119,0.9974,0.9646,100
prompt_engineering,cross-de,openai,0.9357,0.0116,0.9051,0.9602,0.9368,100
prompt_engineering,gbert-base,deepseek,0.9977,0.0015,0.9917,1.0,0.9981,100
prompt_engineering,gbert-base,llama,0.9983,0.0012,0.9955,1.0,0.9984,100
prompt_engineering,gbert-base,openai,0.991,0.0025,0.9847,0.9966,0.9911,100
prompt_engineering,gbert-large,deepseek,0.9658,0.0206,0.8875,0.9989,0.9682,100
prompt_engineering,gbert-large,llama,0.9733,0.017,0.9139,0.9992,0.9754,100
prompt_engineering,gbert-large,openai,0.9421,0.012,0.9057,0.9732,0.9442,100
prompt_engineering,multilingual-e5-large,deepseek,0.9768,0.0105,0.9522,0.9983,0.9771,100
prompt_engineering,multilingual-e5-large,llama,0.9823,0.0092,0.957,0.9997,0.9822,100
prompt_engineering,multilingual-e5-large,openai,0.9556,0.007,0.9354,0.9679,0.9576,100
prompt_engineering,paraphrase-multi,deepseek,0.9886,0.0164,0.9073,1.0,0.9954,100
prompt_engineering,paraphrase-multi,llama,0.9902,0.0137,0.936,1.0,0.9958,100
prompt_engineering,paraphrase-multi,openai,0.8845,0.0513,0.6859,0.9867,0.8913,100
standard,cross-de,deepseek,0.9464,0.0287,0.8408,0.9998,0.9444,100
standard,cross-de,llama,0.9511,0.0304,0.8473,1.0,0.948,100
standard,cross-de,openai,0.9267,0.0135,0.8869,0.9602,0.9266,100
standard,gbert-base,deepseek,0.9981,0.0012,0.9932,1.0,0.9982,100
standard,gbert-base,llama,0.9983,0.0013,0.9933,1.0,0.9985,100
standard,gbert-base,openai,0.9933,0.0023,0.9853,0.9973,0.9938,100
standard,gbert-large,deepseek,0.9697,0.0193,0.9107,0.9998,0.9725,100
standard,gbert-large,llama,0.9723,0.0202,0.9124,1.0,0.9733,100
standard,gbert-large,openai,0.9446,0.0135,0.8945,0.971,0.9456,100
standard,multilingual-e5-large,deepseek,0.9879,0.0081,0.9661,1.0,0.9893,100
standard,multilingual-e5-large,llama,0.9889,0.009,0.9405,1.0,0.9909,100
standard,multilingual-e5-large,openai,0.9564,0.0095,0.9301,0.9766,0.9575,100
standard,paraphrase-multi,deepseek,0.9888,0.0149,0.9066,1.0,0.9933,100
standard,paraphrase-multi,llama,0.9893,0.0133,0.9308,1.0,0.9936,100
standard,paraphrase-multi,openai,0.9329,0.0359,0.7876,0.9938,0.9413,100
