Index,Sprache Lyrics,Jahr
724,de,1997
6678,en,1993
10058,en,1997
18486,en,1966
20582,en,2005
24813,de,2012
25829,de,1994
25880,de,2014
31607,en,2003
32600,en,1980
37719,en,2012
39933,en,2008
42034,en,1967
46465,en,1976
53622,de,2021
57001,en,2012
63368,de,1996
64029,en,2013
64133,en,2009
64176,en,2007
64815,en,2000
73012,de,2004
74654,en,2011
85040,en,2001
91036,en,2014
100588,en,2004
106177,en,2013
108034,en,1985
117133,de,1964
117751,de,1962
128346,en,2014
148194,en,1994
152388,en,2019
171850,en,2010
173479,de,1958
185605,en,2003
187822,en,2022
188049,en,1990
196375,de,1984
204922,en,2005
206443,en,1992
206659,en,1987
215027,de,1972
215823,en,1971
216373,en,1997
216885,en,2017
219817,de,2023
223918,en,1979
226208,en,1989
236598,en,2018
237556,en,1970
247254,en,1995
248866,en,2006
249074,en,1953
260814,en,1991
264309,en,1968
265566,en,2021
269611,en,2008
275010,en,1999
277467,en,1999
277630,en,1984
281978,en,1952
292219,en,2006
296743,en,1996
297459,en,2023
301337,en,2007
306235,en,2010
309877,en,2020
319153,en,2002
320670,en,1998
323294,en,1950
325697,en,1960
328236,en,2016
339857,en,2009
345132,en,2015
353602,en,2004
358207,en,2001
362557,en,1983
366533,en,1961
367372,en,1977
104576_chartsurfer,de,1961
106345_chartsurfer,en,1981
159735_chartsurfer,en,1951
162030_chartsurfer,en,1954
162979_chartsurfer,en,1955
165793_chartsurfer,en,1957
187613_chartsurfer,en,1988
188676_chartsurfer,en,2015
204303_chartsurfer,en,1962
204680_chartsurfer,en,1958
216363_chartsurfer,en,1964
227851_chartsurfer,en,1982
233495_chartsurfer,en,1965
276870_chartsurfer,en,1973
277529_chartsurfer,en,1956
296035_chartsurfer,de,1986
30008_chartsurfer,en,1974
301155_chartsurfer,en,1963
40213_chartsurfer,en,1969
70902_chartsurfer,en,1975
