topic,period,p_value,odds_ratio,ci_lower,ci_upper,rate_difference,count_chart_topic,count_nochart_topic,total_chart,total_nochart,p_adjusted,significant,direction
-1,1955-1959,0.000686392474673055,1.7732993434089181,1.2843924136939864,2.455953201771877,0.1314758158508158,67,1049,156,3520,0.02299414790154734,True,overrepresented
0,1955-1959,0.04234185079313334,7.606060606060606,2.016629610147251,37.957473037090026,0.011115967365967365,2,6,156,3520,0.47281733385665564,False,neutral
1,1955-1959,0.40823466692092303,1.305019305019305,0.6760449412529757,2.805553848771773,0.011509324009324008,8,140,156,3520,1.0,False,neutral
2,1955-1959,1.0,0.0,0.034478989824681505,9.54543732218775,-0.005397727272727273,0,19,156,3520,1.0,False,neutral
3,1955-1959,0.09387574268965962,2.4772403982930298,1.0173396639764924,7.385645484190356,0.015129662004662004,4,37,156,3520,0.6988527511341327,False,neutral
4,1955-1959,0.41461984004658914,0.0,0.016804893389997546,4.485891788150243,-0.011363636363636364,0,40,156,3520,1.0,False,neutral
5,1955-1959,1.0,0.0,0.30414115528716357,184.76323369356385,-0.0002840909090909091,0,1,156,3520,1.0,False,neutral
6,1955-1959,1.0,0.0,0.03628434813617936,10.083349737747602,-0.005113636363636364,0,18,156,3520,1.0,False,neutral
7,1955-1959,0.04150438749948647,0.39698443342049317,0.18391376148197178,1.026548094562452,-0.04493735431235432,5,271,156,3520,0.47281733385665564,False,neutral
8,1955-1959,0.4078954973757086,0.0,0.017672444412042326,4.72580167402278,-0.010795454545454546,0,38,156,3520,1.0,False,neutral
9,1955-1959,1.0,0.0,0.08509591655521534,26.324491661490566,-0.0019886363636363634,0,7,156,3520,1.0,False,neutral
10,1955-1959,1.0,0.7012987012987013,0.24263343846885954,3.0990322100890415,-0.005361305361305361,2,64,156,3520,1.0,False,neutral
11,1955-1959,1.0,0.0,0.062307856668622104,18.311666463623485,-0.002840909090909091,0,10,156,3520,1.0,False,neutral
12,1955-1959,1.0,0.0,0.062307856668622104,18.311666463623485,-0.002840909090909091,0,10,156,3520,1.0,False,neutral
13,1955-1959,1.0,0.0,0.05719315954268202,16.6211874958364,-0.003125,0,11,156,3520,1.0,False,neutral
14,1955-1959,0.009615100945371734,2.966108966108966,1.4952339403043649,6.496100341359802,0.03338432400932401,8,63,156,3520,0.16105294083497654,False,neutral
15,1955-1959,1.0,0.0,0.062307856668622104,18.311666463623485,-0.002840909090909091,0,10,156,3520,1.0,False,neutral
16,1955-1959,0.00790779813153006,3.3982102908277403,1.6362394056712894,7.884866152620642,0.031235431235431238,7,48,156,3520,0.16105294083497654,False,neutral
17,1955-1959,0.7104429149518936,1.0754483611626469,0.3661393233027987,4.7905219074092,0.0008886946386946377,2,42,156,3520,1.0,False,neutral
18,1955-1959,2.5101843931009686e-05,0.1832579185520362,0.07997056230793481,0.5269955599815276,-0.0999271561771562,4,442,156,3520,0.001681823543377649,True,underrepresented
19,1955-1959,0.2871033741272402,1.97459062676454,0.6473281113678447,8.959387162195473,0.006286421911421911,2,23,156,3520,1.0,False,neutral
20,1955-1959,1.0,,0.4448729610714798,1137.4806119832153,0.0,0,0,156,3520,1.0,False,neutral
21,1955-1959,0.6407520446585853,0.0,0.021557440177577162,5.810579306013319,-0.008806818181818181,0,31,156,3520,1.0,False,neutral
22,1955-1959,0.17694238591435885,0.0,0.011634653242234198,3.073446889550171,-0.016477272727272726,0,58,156,3520,0.9879283213551703,False,neutral
23,1955-1959,0.6407520446585853,0.0,0.021557440177577162,5.810579306013319,-0.008806818181818181,0,31,156,3520,1.0,False,neutral
24,1955-1959,0.6228213561075263,0.0,0.028748635142631016,7.8645488714575285,-0.006534090909090909,0,23,156,3520,1.0,False,neutral
25,1955-1959,0.6334282837276743,0.0,0.022998165485979886,6.21724799626646,-0.008238636363636363,0,29,156,3520,1.0,False,neutral
26,1955-1959,0.801598472124549,0.6705882352941176,0.2640801537509001,2.2805029108194756,-0.009178321678321676,3,100,156,3520,1.0,False,neutral
27,1955-1959,0.32342545023377006,2.832258064516129,0.6974084056896258,22.783968329280764,0.004137529137529137,1,8,156,3520,1.0,False,neutral
28,1955-1959,1.0,0.0,0.13382277279245153,46.57764394699917,-0.0011363636363636363,0,4,156,3520,1.0,False,neutral
29,1955-1959,0.41461984004658914,0.0,0.016804893389997546,4.485891788150243,-0.011363636363636364,0,40,156,3520,1.0,False,neutral
30,1955-1959,0.4110283490372184,0.0,0.017227879451583553,4.6027576496310845,-0.011079545454545455,0,39,156,3520,1.0,False,neutral
31,1955-1959,0.47431526426999704,0.7612366230677765,0.4297703854945969,1.4594811676444686,-0.020112179487179485,11,319,156,3520,1.0,False,neutral
32,1955-1959,0.5426957960218202,1.3294117647058823,0.36164525711477913,10.312574615587646,0.0015807109557109556,1,17,156,3520,1.0,False,neutral
33,1955-1959,0.08937567829980982,4.558441558441558,1.3492421294483425,21.69164623805498,0.009979603729603728,2,10,156,3520,0.6988527511341327,False,neutral
