judge_model,interpretations_model,methode,song,halluzination_score,tiefe_score,beste_interpretation
llama,deepseek,standard,Dick and Jane - Bobby Vinton (1974),3.4,3.4,1
llama,openai,standard,Streets of Fear - Hawkwind (1981),3.6,3.6,1
llama,openai,standard,Dance Dance Dance - Arabesque (1983),3.8,3.6,1
llama,openai,standard,They Only Come Out At Night - Lordi (2006),3.6,3.6,1
llama,deepseek,standard,When You Give It Away - Bruce Cockburn (1999),3.6,3.6,1
llama,deepseek,standard,Thank Me Now - Drake (2010),4.4,3.6,3
llama,llama,standard,Mama Told Me Not To Come - Wilson Pickett (1971),4.0,3.6,1
llama,openai,standard,Welcome to the Big Room - Neil Young (2015),3.6,3.6,1
llama,llama,standard,Number One - Laid Back (2019),4.0,4.0,1
llama,deepseek,standard,Jekyll And Hyde - Judas Priest (2001),4.0,3.0,1
llama,llama,standard,Ride It - Jay Sean (2007),3.4,3.6,1
llama,deepseek,standard,You Belong To Me - Rick Astley (2005),4.2,3.4,5
llama,llama,standard,Clues - Godley & Creme (1979),3.4,3.6,1
llama,deepseek,standard,Clues - Godley & Creme (1979),3.6,3.6,1
llama,deepseek,standard,Sleepy Time Gal - Bing Crosby (1953),3.4,3.0,2
llama,openai,standard,Thank Me Now - Drake (2010),3.6,3.8,1
llama,openai,standard,Heart of Stone - The Platters (1956),3.6,3.6,1
llama,openai,standard,Ein Haus aus den Knochen von Cary Grant - Foyer Des Arts (1984),3.6,4.0,1
llama,llama,standard,Arschgesicht - Udo Lindenberg (1996),4.0,3.8,1
llama,deepseek,standard,Light My Fire - Bananafishbones (2002),2.6,3.2,1
llama,deepseek,standard,4:am Forever - Lostprophets (2006),4.2,3.4,5
llama,openai,standard,All I Need - Heather Nova (2003),4.0,3.6,1
llama,deepseek,standard,Got To Give It Up - Marvin Gaye (1977),3.8,2.8,5
llama,llama,standard,Into The Blue - Rooney (2010),4.0,3.0,1
llama,openai,standard,Sauerkrautpolka - Gus Backus (1961),3.6,3.6,1
llama,deepseek,standard,Planetarium - Covenant (1997),3.6,3.6,1
llama,deepseek,standard,"Turn, Turn, Turn - The Simon Sisters (1966)",4.0,3.0,1
llama,llama,standard,Du fehlst - Die Toten Hosen (2012),3.4,2.8,1
llama,openai,standard,Teach Me Tonight - Neil Diamond (1988),3.8,4.4,5
llama,llama,standard,Time Immemorial - Crowded House (1990),4.0,3.0,1
llama,llama,standard,Dick and Jane - Bobby Vinton (1974),5.0,3.0,1
llama,llama,standard,Peggy's Kitchen Wall - Bruce Cockburn (1984),3.6,3.6,1
llama,llama,standard,Best Night - Justice Crew (2012),4.0,3.5,1
llama,openai,standard,I Know - Vanilla Ninja (2005),3.8,4.2,5
llama,openai,standard,Coffee - Kelly Rowland (2020),3.8,3.8,1
llama,llama,standard,Battles - In Flames (2016),4.0,3.6,1
llama,deepseek,standard,They Only Come Out At Night - Lordi (2006),4.0,3.0,1
llama,deepseek,standard,Arschgesicht - Udo Lindenberg (1996),3.6,3.6,1
llama,deepseek,standard,The World Is Waiting For Sunrise - Les Paul & Mary Ford (1951),4.2,3.2,3
llama,deepseek,standard,You Know I Miss You - Fats Domino (1952),3.6,3.0,1
llama,llama,standard,Drunk On Love - Basia (1994),3.2,3.2,1
llama,llama,standard,Coffee - Kelly Rowland (2020),3.8,3.8,5
llama,deepseek,standard,I Can't Stand The Rain - Seal (2008),3.4,3.4,1
llama,deepseek,standard,Skipping Like A Stone - The Chemical Brothers feat. Beck (2023),4.0,3.5,1
llama,openai,standard,Time Immemorial - Crowded House (1990),3.6,3.6,1
llama,openai,standard,One Day Tomorrow - Edgar Winter (1975),3.6,4.0,1
llama,openai,standard,Do You Remember - Jay Sean feat. Sean Paul & Lil Jon (2009),3.6,3.6,1
llama,llama,standard,Wait - Martin Jensen feat. Loote (2017),4.0,3.6,1
llama,openai,standard,Ale Ale - Capital Bra (2023),3.6,3.8,1
llama,deepseek,standard,Sing to Me Mr. C - Perry Como (1962),3.4,3.2,3
llama,openai,standard,Funny How Time Slips Away - Wanda Jackson (1963),3.6,4.2,1
llama,llama,standard,Heavens Rain - Uriah Heep (2008),3.6,3.6,1
llama,llama,standard,Assistant's Cry - Yello (1980),4.2,3.5,1
llama,llama,standard,Blessed Assurance - Burl Ives (1950),4.0,3.8,1
llama,deepseek,standard,From Small Things (Big Things One Day Come) - Bruce Springsteen (2003),4.2,3.3,5
llama,openai,standard,I Can't Stand The Rain - Seal (2008),3.6,3.6,1
llama,openai,standard,It’s Alright - The Osmonds (1973),3.6,4.0,1
llama,llama,standard,A Reason - Circ (2004),4.0,3.0,1
llama,openai,standard,Sleepy Time Gal - Bing Crosby (1953),3.6,4.0,5
llama,openai,standard,Worth It All - Jay Sean (2013),4.0,4.0,1
llama,deepseek,standard,Without Love - Dina Carroll (1999),4.0,2.0,1
llama,llama,standard,Es geht mir gut - Westernhagen (1994),3.8,3.4,1
llama,llama,standard,Ein Haus aus den Knochen von Cary Grant - Foyer Des Arts (1984),3.2,3.2,4
llama,openai,standard,Breakout - Beverley Knight (2009),3.6,3.6,1
llama,llama,standard,When You Give It Away - Bruce Cockburn (1999),4.2,3.4,5
llama,deepseek,standard,I Know - Vanilla Ninja (2005),3.4,3.4,1
llama,deepseek,standard,Sternengold und Silbermond - Peter Alexander (1962),3.6,3.2,3
llama,llama,standard,"Reise, Reise - Rammstein (2004)",4.2,3.7,4
llama,llama,standard,That Old Black Magic - Sam The Sham & The Pharaohs (1965),4.0,3.0,1
llama,llama,standard,Here I Go Again - Blue System (1995),3.4,3.6,3
llama,openai,standard,Ship Of Fools - World Party (1987),3.6,3.6,1
llama,openai,standard,Dick and Jane - Bobby Vinton (1974),3.6,3.6,1
llama,llama,standard,Spirits' Masquerade - Leaves' Eyes (2011),3.6,3.6,1
llama,deepseek,standard,It’s Alright - The Osmonds (1973),3.2,3.2,1
llama,llama,standard,One More Time - Robin Schulz & Felix Jaehn feat. Alida (2021),3.8,3.8,1
llama,openai,standard,Ride It - Jay Sean (2007),3.6,4.0,1
llama,llama,standard,Do You Remember - Jay Sean feat. Sean Paul & Lil Jon (2009),3.8,3.8,1
llama,openai,standard,That Old Black Magic - Sam The Sham & The Pharaohs (1965),3.8,3.8,5
llama,openai,standard,When You Give It Away - Bruce Cockburn (1999),3.6,4.0,1
