experiment,embedding_model,llm_model,song_id,n_interpretations,mean_similarity,std_similarity,min_similarity,max_similarity,median_similarity
standard,baai-bge-m3,openai,277467,10,0.8512126,0.028001614,0.7847916,0.90555775,0.84918314
standard,baai-bge-m3,openai,265566,10,0.93942386,0.01689456,0.9116024,0.97895986,0.9351858
standard,baai-bge-m3,openai,277630,10,0.8873062,0.02597738,0.83598465,0.95118177,0.88928276
standard,baai-bge-m3,openai,42034,10,0.9009384,0.022917707,0.84785986,0.95080894,0.89953315
standard,baai-bge-m3,openai,25880,10,0.8969576,0.03168935,0.84941494,0.9836079,0.89761174
standard,baai-bge-m3,openai,64029,10,0.9148256,0.025754958,0.8736882,0.9753163,0.9124489
standard,baai-bge-m3,openai,247254,10,0.8867145,0.022868672,0.84843725,0.92614037,0.88738173
standard,baai-bge-m3,openai,236598,10,0.88150203,0.029967755,0.8108179,0.93822783,0.8874211
standard,baai-bge-m3,openai,148194,10,0.92051536,0.034273896,0.8627265,0.96852094,0.9293154
standard,baai-bge-m3,openai,206443,10,0.9039082,0.023545345,0.8549312,0.97258735,0.90816116
standard,baai-bge-m3,openai,297459,10,0.9148264,0.018748049,0.87642205,0.9625828,0.91502863
standard,baai-bge-m3,openai,57001,10,0.9027932,0.022885716,0.86103034,0.9630456,0.8974517
standard,baai-bge-m3,openai,165793_chartsurfer,10,0.88519585,0.02273946,0.8397387,0.93031585,0.8840835
standard,baai-bge-m3,openai,325697,10,0.8557085,0.03884494,0.78394455,0.9517777,0.85845363
standard,baai-bge-m3,openai,24813,10,0.90534955,0.022611279,0.8701142,0.9637141,0.9038768
standard,baai-bge-m3,openai,18486,10,0.93386453,0.022696907,0.89299196,0.96915174,0.93028605
standard,baai-bge-m3,openai,53622,10,0.8901213,0.027835049,0.83357036,0.95588803,0.89077926
standard,baai-bge-m3,openai,339857,10,0.9546158,0.014118416,0.92284906,0.9862381,0.9562865
standard,baai-bge-m3,openai,358207,10,0.9020135,0.03621511,0.83175343,0.9720159,0.89740527
standard,baai-bge-m3,openai,206659,10,0.932786,0.015767848,0.9064959,0.96911454,0.929455
standard,baai-bge-m3,openai,31607,10,0.8986457,0.025574122,0.8406868,0.95138806,0.8952218
standard,baai-bge-m3,openai,85040,10,0.93406373,0.045444928,0.834716,0.98680305,0.9506428
standard,baai-bge-m3,openai,277529_chartsurfer,10,0.89021766,0.026572336,0.8280007,0.9615151,0.887133
standard,baai-bge-m3,openai,188676_chartsurfer,10,0.91250706,0.021402447,0.8643755,0.94517076,0.9121051
standard,baai-bge-m3,openai,117751,10,0.9117552,0.0140639655,0.8763748,0.9419534,0.9144051
standard,baai-bge-m3,openai,345132,10,0.88258743,0.027656946,0.82695127,0.9524535,0.87989235
standard,baai-bge-m3,openai,30008_chartsurfer,10,0.88951874,0.032396346,0.8391637,0.9700249,0.88015515
standard,baai-bge-m3,openai,64815,10,0.9270569,0.015497987,0.8978704,0.9528285,0.92959607
standard,baai-bge-m3,openai,188049,10,0.86187065,0.029652078,0.78261226,0.9179016,0.86451745
standard,baai-bge-m3,openai,162030_chartsurfer,10,0.9310385,0.015458649,0.9016987,0.9845456,0.93233407
standard,baai-bge-m3,openai,185605,10,0.91141343,0.052013967,0.82468116,0.98203063,0.93062496
standard,baai-bge-m3,openai,367372,10,0.90767986,0.018988589,0.8601564,0.9488693,0.9085895
standard,baai-bge-m3,openai,128346,10,0.915497,0.035470057,0.815283,0.9669189,0.9250105
standard,baai-bge-m3,openai,63368,10,0.91208595,0.023472905,0.8606657,0.95642525,0.90569115
standard,baai-bge-m3,openai,46465,10,0.91377914,0.039818432,0.86438084,0.98845863,0.8994218
standard,baai-bge-m3,openai,296035_chartsurfer,10,0.8967141,0.02363664,0.8589841,0.9473237,0.8916382
standard,baai-bge-m3,openai,215027,10,0.87087345,0.0403011,0.80964106,0.9653805,0.8631478
standard,baai-bge-m3,openai,173479,10,0.85551274,0.024560267,0.7982383,0.89628166,0.85847104
standard,baai-bge-m3,openai,91036,10,0.930403,0.021249985,0.8815787,0.9699275,0.9313977
