Source,Target,Type,Weight
4,57,Undirected,6721
15,35,Undirected,347
18,30,Undirected,6153
39,48,Undirected,9
5,57,Undirected,717
0,50,Undirected,14006
16,45,Undirected,5125
19,35,Undirected,639
5,20,Undirected,7628
17,50,Undirected,2138
24,30,Undirected,201
30,31,Undirected,1279
1,46,Undirected,2248
1,52,Undirected,6454
15,19,Undirected,9618
31,46,Undirected,5829
1,32,Undirected,360
22,46,Undirected,2061
1,57,Undirected,2023
20,53,Undirected,850
27,50,Undirected,974
11,22,Undirected,4203
18,24,Undirected,15984
3,64,Undirected,2999
7,31,Undirected,6767
7,40,Undirected,8991
10,19,Undirected,703
58,60,Undirected,498
7,26,Undirected,5546
16,25,Undirected,1027
26,62,Undirected,15
14,51,Undirected,716
17,43,Undirected,177
13,36,Undirected,313
19,32,Undirected,1634
36,51,Undirected,589
22,31,Undirected,1869
22,29,Undirected,1137
21,56,Undirected,1113
27,35,Undirected,1211
4,35,Undirected,2009
9,50,Undirected,7318
18,60,Undirected,3060
17,18,Undirected,48
28,50,Undirected,1659
32,51,Undirected,969
17,48,Undirected,850
55,57,Undirected,226
28,55,Undirected,99
27,32,Undirected,2687
17,32,Undirected,1235
33,60,Undirected,1175
6,55,Undirected,590
18,22,Undirected,1380
2,33,Undirected,960
5,63,Undirected,1925
32,48,Undirected,212
6,32,Undirected,721
6,48,Undirected,1549
24,59,Undirected,1056
42,48,Undirected,2150
18,29,Undirected,4154
35,39,Undirected,3238
18,40,Undirected,1149
0,18,Undirected,3046
25,62,Undirected,1218
9,59,Undirected,5250
13,39,Undirected,830
35,57,Undirected,1342
39,42,Undirected,989
14,26,Undirected,2258
13,28,Undirected,123
10,15,Undirected,1630
14,34,Undirected,331
35,55,Undirected,196
17,28,Undirected,287
13,19,Undirected,77
13,35,Undirected,3709
15,32,Undirected,186
13,15,Undirected,4097
19,27,Undirected,833
16,17,Undirected,790
0,9,Undirected,2063
10,36,Undirected,291
11,36,Undirected,929
38,46,Undirected,642
45,50,Undirected,21
25,51,Undirected,2021
8,17,Undirected,1829
6,50,Undirected,27
9,28,Undirected,607
9,22,Undirected,302
41,49,Undirected,1360
27,28,Undirected,131
7,11,Undirected,144
28,46,Undirected,76
9,13,Undirected,1290
20,61,Undirected,1156
38,59,Undirected,747
6,42,Undirected,599
4,38,Undirected,242
19,25,Undirected,98
35,50,Undirected,457
22,59,Undirected,689
1,19,Undirected,28
17,60,Undirected,42
18,31,Undirected,387
22,38,Undirected,1864
9,24,Undirected,233
33,43,Undirected,708
26,40,Undirected,1120
2,45,Undirected,1214
9,18,Undirected,415
18,28,Undirected,170
32,46,Undirected,183
12,25,Undirected,770
22,28,Undirected,337
53,57,Undirected,403
5,53,Undirected,451
48,51,Undirected,106
6,39,Undirected,480
26,51,Undirected,464
32,36,Undirected,174
2,43,Undirected,534
49,60,Undirected,331
9,19,Undirected,607
25,32,Undirected,433
61,65,Undirected,261
22,30,Undirected,234
10,12,Undirected,174
39,57,Undirected,126
57,63,Undirected,113
28,35,Undirected,304
37,53,Undirected,1812
39,55,Undirected,239
20,63,Undirected,186
23,48,Undirected,1426
4,46,Undirected,366
26,32,Undirected,315
17,49,Undirected,250
15,25,Undirected,103
32,50,Undirected,599
14,43,Undirected,844
18,49,Undirected,1152
43,58,Undirected,1576
18,43,Undirected,107
9,36,Undirected,577
12,26,Undirected,589
9,45,Undirected,122
19,50,Undirected,365
28,32,Undirected,270
36,50,Undirected,8
13,50,Undirected,431
31,40,Undirected,258
24,29,Undirected,675
48,50,Undirected,78
28,59,Undirected,193
10,25,Undirected,1094
25,26,Undirected,370
0,24,Undirected,224
28,30,Undirected,216
28,49,Undirected,42
26,58,Undirected,604
30,40,Undirected,111
17,45,Undirected,55
9,60,Undirected,572
9,11,Undirected,77
43,49,Undirected,30
18,58,Undirected,445
5,37,Undirected,220
53,63,Undirected,167
49,58,Undirected,53
19,40,Undirected,299
1,6,Undirected,238
