Id,Label,Count
0,T0:Zerrissene Selbstreflexion,17314
1,T1:Kollektiver Tanzrausch,6145
2,T2:Regen als Trauermotiv,2059
3,T3:Weihnachtslieder,2288
4,T4:Konsumkritik,3480
5,"T5:Luxus, Gewalt, Kriminalität",7610
6,T6:Autofahren als Freiheitsmotiv,1896
7,T7:Ewige Liebesbindung,9076
8,T8:Der Zug als Metapher für das Voranschreiten,1036
9,T9:Zerrissene Psyche,7428
10,T10:Göttliche Gegenwart,1551
11,T11:Feuer als Motiv der Leidenschaft,1609
12,T12:Engelsmotive,807
13,T13:Gesellschaftskritik und Krieg,5849
14,T14:Mondmotive und Liebe,1319
15,T15:Solidarität und Kollektivität,4023
16,T16:Motive des Meeres,2799
17,T17:Heimat und Zugehörigkeit,2386
18,T18:Unerwiderte Liebe,23048
19,T19:Selbstermächtigung und Resilienz,6666
20,T20:Aggressive Selbstinszenierung,2787
21,T21:Christlicher Glaube,660
22,T22:Toxische Liebesabhängigkeit,6003
23,T23:Sehnsucht nach Amerika,636
24,T24:Befreiung aus toxischer Beziehung,4248
25,T25:Fliegen als Freiheitsmotiv,3066
26,T26:Liebe als Transzendentes,4701
27,T27:Eltern‑Kind Bindung,1174
28,T28:Alkohol und Einsamkeit,851
29,T29:Naivität in der Liebe,1304
30,T30:Das Telefon als Sehnsuchtsmotiv,1693
31,T31:Jugendliche Liebesballade,7669
32,T32:Nostalgie der Jugend,2094
33,T33:Winter als Liebesmetapher,644
34,T34:Schlaflieder,303
35,T35:Technokratische Dystopie und Systemkritik,7345
36,T36:Edelsteine als Motiv für Beständigkeit,312
37,T37:Westküsten‑Gangsta‑Identität,595
38,T38:Glücksspiel als Metapher für das Leben,660
39,T39:Amerikanische Identität und Kolonialismus,1468
40,T40:Bedingungslose Unterstützung in Beziehungen,3505
41,T41:Blues als Ausdruck von Schmerz,452
42,T42:Amerikanischer Western‑Mythos,826
43,T43:Jahreszeiten als Motiv des Wandels,1558
44,"T44:Inszenierung von Macht, Luxus und Gewalt",222
45,T45:Wasser als Motiv,1414
46,T46:Begierde und körperliche Verführung,4033
47,T47:Unantastbare Rap‑Identität,201
48,T48:Urbanes Stadtporträt,1778
49,T49:Blau als Symbol der Melancholie,805
50,T50:Flucht als Motiv der Bewältigung,3711
51,T51:Eskapismus: Die Flucht in Reise- und Sehnsuchtsorte,1269
52,"T52:Funk, Soul und Tanzkultur",205
53,T53:Hip‑Hop Machtdemonstration,1842
54,T54:Selbstinszenierung im Rap und Szenekritik,183
55,"T55:Glamour, Ruhm, Illusion",368
56,T56:Weihnachten und Gott,274
57,T57:Satirische Gesellschaftskritik,4286
58,T58:Natur als Liebesmetapher,713
59,T59:Symbol der Verstellung und Schutzmechanismen,1814
60,T60:Die Metaphorik der Kälte als emotionale Distanz,929
61,T61:Deutschrap Battle‑Provokation,557
62,T62:Schmetterlingsmetaphorik über Wandel und neue Freiheit,189
63,T63:Straßenleben und Gewalt,720
64,T64:Weihnachten und Winter,369
65,T65:Selbstinszenierung im Rap,181
