Topic,Label,MK_Trend,MK_p_value,Theil_Sen_Slope,Mean_Rel_Freq,BH_p_value,MK_Trend_Original
0,Zerrissene Selbstreflexion,increasing,0.00012126237486764779,0.006171975067976021,0.05790195893380056,0.0007687439680295191,increasing
1,Kollektiver Tanzrausch,no trend,0.16055589143580895,-0.0013288429125061715,0.026020772186822867,0.2162589558114978,no trend
2,Regen als Trauermotiv,decreasing,0.008706155452434139,-0.00018922864255262488,0.008111677832964636,0.01512121736475403,decreasing
3,Weihnachtslieder,increasing,0.0041383639950869355,0.0004042584795775329,0.008739260211691035,0.008276727990173871,increasing
4,Konsumkritik,no trend,0.24638736002924677,-0.00010417083818338235,0.013579002707565577,0.30682199550811856,no trend
5,"Luxus, Gewalt, Kriminalität",increasing,4.747060882381859e-06,0.0030696912503115985,0.02119366686437219,0.0002785964067522073,increasing
6,Autofahren als Freiheitsmotiv,decreasing,0.02398753446442692,-0.0002630075863993667,0.007757825451825946,0.040594289093645555,decreasing
7,Ewige Liebesbindung,decreasing,0.00019800980994699735,-0.0028151434452366258,0.04100610010219814,0.0007687439680295191,decreasing
8,Der Zug als Metapher für das Voranschreiten,decreasing,4.358673270377089e-05,-0.0006191901604583883,0.0050486532676535635,0.0004794540597414798,decreasing
9,Zerrissene Psyche,increasing,0.00019800980994699735,0.003337011073475775,0.024401608561270292,0.0007687439680295191,increasing
10,Göttliche Gegenwart,decreasing,0.00019800980994699735,-0.000682928784018179,0.0074538759296028595,0.0007687439680295191,decreasing
11,Feuer als Motiv der Leidenschaft,no trend,0.20012811767860228,0.0002937587329680811,0.005985008360397165,0.25898932876054415,no trend
12,Engelsmotive,no trend,0.760332307521876,4.408418213453034e-05,0.003115112109208562,0.7840926921319346,no trend
13,Gesellschaftskritik und Krieg,no trend,0.854777098065548,0.0010066970580942314,0.0212394523417414,0.854777098065548,no trend
14,Mondmotive und Liebe,no trend,0.04408378374132105,-0.00037876958027114943,0.006572784616341557,0.06766348202156254,decreasing
15,Solidarität und Kollektivität,no trend,0.5021582515007486,0.000367311017183141,0.014771301230669028,0.5523740766508234,no trend
16,Motive des Meeres,decreasing,0.0060437194011075945,-0.0004856528891870129,0.011778823822390995,0.011080152235363924,decreasing
17,Heimat und Zugehörigkeit,no trend,0.20012811767860228,-0.0002962621752850541,0.009717849487189002,0.25898932876054415,no trend
18,Unerwiderte Liebe,decreasing,0.00019800980994699735,-0.003778017928183069,0.09716415770674648,0.0007687439680295191,decreasing
